Leading.proteins.Positions.within.proteins;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d5_01;log2 N2_d5_02;log2  N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d15_N2_d5; Student's T-test q-value N2_d15_N2_d5; Student's T-test Difference N2_d15_N2_d5;Student's T-test Test statistic N2_d15_N2_d5;Sign p-val: 0.05 
Q22028(3);19,9993;19,4599;20,8034;20,4405;20,2183;20,4202;20,9395;20,1981;0,340298;0,306228;-0,268221;-0,795234;
Q22037(149);20,7412;19,2157;19,8802;21,366;26,0613;24,4177;26,0736;24,7988;3,65963;0,000296736;-5,03711;-7,89475;+
Q22037(82);20,638;20,8903;17,8233;20,6623;20,6185;20,8238;20,7986;21,8685;0,622503;0,131312;-1,0239;-1,30877;
Q22037(142);21,235;20,7853;17,5218;20,1505;21,6825;21,1915;21,1628;21,5416;0,883887;0,0627106;-1,47145;-1,75022;
Q22038(173);21,2562;19,3931;20,0088;18,6848;24,4646;22,6902;22,5555;23,1267;2,53724;0,00167184;-3,37355;-4,83265;+
Q22038(135);25,1809;24,9098;24,3489;21,8398;24,8777;23,2403;24,4418;25,3677;0,180972;0,518469;-0,412042;-0,463688;
Q22053(323);24,2071;23,788;25,0994;24,4664;21,5393;20,758;21,398;21,8218;3,83261;0,000377358;3,01094;8,48029;+
Q22053(133);19,3563;20,8601;20,1564;21,8384;20,054;21,3623;21,3558;21,4376;0,343257;0,303168;-0,49966;-0,801002;
Q22053(140);19,1975;19,1595;19,4441;19,8799;22,4555;23,5013;23,5155;23,3764;4,79492;0;-3,79193;-12,4989;+
Q22054(48);19,1935;20,1268;18,7337;20,5526;20,6427;21,7338;21,4335;21,6993;1,90909;0,00669711;-1,72567;-3,53263;+
Q22054(58);18,9719;20,385;20,1748;19,188;20,84;20,2812;19,8199;20,8311;0,90118;0,0603275;-0,763107;-1,779;
Q22065(68);21,7534;20,6938;20,0274;20,333;21,7421;21,4923;20,5276;21,8713;0,711552;0,101612;-0,706455;-1,46112;
Q22065(67);20,3262;19,9911;17,025;19,2186;22,4731;20,2178;20,0768;20,6995;0,954033;0,0532129;-1,72657;-1,86684;
Q22067(301);16,4302;19,965;21,1423;20,159;24,6754;23,9954;22,9615;22,5461;1,95357;0,00617927;-4,12046;-3,61765;+
Q22101(145);19,1995;19,6174;19,2061;20,5828;21,5691;21,6381;19,8507;21,5958;1,48997;0,0155743;-1,51192;-2,77142;+
Q22215(128);21,1603;18,966;20,4858;20,5197;21,9295;20,2317;20,7164;21,8117;0,69016;0,108223;-0,889397;-1,42477;
Q22240(1152);20,5294;17,7081;20,2477;20,1097;21,296;21,7708;21,172;20,4878;1,13997;0,0348211;-1,53292;-2,17611;+
Q22253(378);24,9253;25,1487;24,5118;23,7691;25,107;25,0056;25,4485;25,7192;1,10795;0,0372755;-0,73138;-2,1227;+
Q22253(303);24,7894;25,3271;25,1013;26,6949;23,895;25,8696;22,8869;22,9032;1,00078;0,0486701;1,58952;1,94448;+
Q22257(939);24,0885;25,1103;25,8613;24,844;20,1298;21,559;21,1245;20,2263;3,79474;0,000358423;4,21611;8,34901;+
Q22295(457);21,9115;20,0798;19,9246;19,3472;24,2571;22,9695;22,8569;22,0604;2,04364;0,00533333;-2,72018;-3,79276;+
Q22295(233);19,5392;19,3533;18,347;20,1755;21,9378;20,9336;21,4051;21,5176;2,54688;0,00162416;-2,09476;-4,85448;+
Q22322(275);19,1321;18,9751;20,0114;18,3995;19,9895;21,1498;21,3874;21,6468;2,08129;0,00492749;-1,91383;-3,86718;+
Q22322(276);20,3708;18,821;20,8289;21,2523;23,8952;21,6657;23,4727;23,0306;2,02615;0,00554923;-2,69781;-3,75844;+
Q22352(268);21,5969;17,8338;20,386;19,8604;21,6203;21,7448;19,8692;21,1408;0,625534;0,129846;-1,17453;-1,314;
Q22371(195);20,7503;21,0745;19,9116;20,9125;21,5615;20,9868;20,1199;21,5651;0,40832;0,247665;-0,396106;-0,925205;
Q22379(5);24,7434;24,195;23,8492;24,8165;26,3065;26,1124;25,498;26,2819;2,83347;0,00110519;-1,64867;-5,53428;+
Q86NE3(5);19,3358;19,1953;18,875;20,5929;24,6605;24,5412;23,0352;24,4782;3,89668;0,000395257;-4,67904;-8,70649;+
Q22422(194);19,5334;20,3899;18,6336;18,6757;21,5738;21,1025;21,2584;21,0175;2,36398;0,00246185;-1,92987;-4,45083;+
Q22436(343);20,3936;18,5381;20,4198;18,7265;21,4237;21,2563;20,0413;21,0461;1,25595;0,0270192;-1,42235;-2,37069;+
Q22436(384);20,1993;20,4722;20,4258;20,0329;24,7285;22,0059;23,3529;23,4;2,80583;0,00107065;-3,08927;-5,46599;+
Q22436(264);24,2766;24,0483;23,7352;23,6235;24,9715;25,7472;25,2262;25,7782;3,047;0,000628763;-1,50987;-6,08288;+
Q22436(395);18,5953;20,1637;19,9017;20,052;23,9873;23,3597;25,673;22,7796;2,97822;0,000815166;-4,27173;-5,90198;+
Q22436(406);25,7593;25,2509;25,629;25,6391;26,5925;25,0161;25,0719;25,6409;0,00946411;0,968174;-0,0107584;-0,0281652;
Q22436(137);19,0269;19,701;21,3088;19,2245;20,0143;20,3874;20,9937;21,1157;0,677779;0,111905;-0,812463;-1,40366;
Q22436(260);19,9631;18,6538;18,8458;20,3596;25,8988;25,4322;23,6907;24,7015;3,86564;0,000387597;-5,47524;-8,59625;+
Q22436(472);25,3401;25,1199;24,0264;25,2699;25,7588;24,4117;25,1086;24,7719;0,0621542;0,802647;-0,0736732;-0,175242;
Q22436(479);25,1942;25,4898;26,1949;23,3036;25,0318;24,7164;25,2599;25,1959;0,00283945;0,990857;-0,00535727;-0,00851355;
Q22436(413);24,1774;23,5195;26,2379;24,6697;24,2752;24,0331;24,1552;24,4677;0,298969;0,348034;0,418342;0,71342;
Q22436(110);23,0064;21,5467;23,3574;20,024;24,0192;24,4585;24,1474;24,4397;1,6006;0,012241;-2,28258;-2,96609;+
Q22436(111);23,0064;22,1702;23,3574;22,0846;24,0192;24,4585;24,1474;24,4397;2,54932;0,00155605;-1,61154;-4,86001;+
Q22436(42);25,2666;25,0609;23,7863;25,1889;25,882;24,0317;24,7601;24,7162;0,0142192;0,951742;-0,0218134;-0,0420943;
Q22436(366);20,6105;19,0523;19,5076;17,9167;21,2595;21,2381;21,3428;21,4025;1,96913;0,00605525;-2,03894;-3,64762;+
Q22436(367);25,1807;24,008;25,1851;23,7904;21,5534;21,5684;20,6774;21,568;3,49561;0,000247525;3,19922;7,37157;+
Q22436(380);25,1039;23,2967;23,1587;24,9739;24,3207;23,6138;23,4794;24,52;0,0936183;0,714293;0,1498;0,256563;
Q22436(162);20,2858;19,5708;18,7907;20,6049;20,9573;19,8467;20,3323;21,4645;0,769786;0,0860776;-0,837156;-1,55944;
Q22436(412);19,0794;21,0591;19,7246;20,701;21,2263;20,2627;20,3315;21,2356;0,550081;0,161433;-0,623002;-1,18237;
Q22494(358);20,3606;19,7045;19,2746;19,4905;22,0989;21,8692;22,8588;21,8961;3,53615;0,000257732;-2,47318;-7,4981;+
Q22494(470);19,9711;20,418;19,9771;20,3898;21,918;20,4809;21,033;21,1295;1,59929;0,0122689;-0,951335;-2,96376;+
Q22527(32);25,7043;25,0438;23,8299;27,3061;26,8032;24,4413;25,5017;26,5135;0,145141;0,593322;-0,343917;-0,381593;
Q22588(317);19,7019;21,6891;20,751;19,0777;21,3451;21,4765;21,0622;21,8912;0,969987;0,0514659;-1,13882;-1,89334;
Q22620(47);22,3163;21,7017;23,5247;20,0533;21,6984;22,7718;23,6585;23,0456;0,491171;0,192044;-0,894574;-1,07735;
Q22625(396);26,2642;25,1653;24,0141;23,908;24,2456;24,4996;24,1027;24,5338;0,381015;0,268913;0,492477;0,873661;
Q22629(503);22,0854;22,6931;24,9673;23,0586;23,78;23,0304;22,4294;22,7079;0,115913;0,658173;0,214168;0,31179;
Q22629(512);19,0828;19,7386;20,1779;19,611;21,3955;20,9793;21,193;20,9261;2,97358;0,000810047;-1,4709;-5,88992;+
Q22631(108);24,816;24,0529;23,3246;23,8611;21,7639;20,6874;20,8254;20,8392;3,55109;0,000263158;2,98464;7,54517;+
Q22631(112);24,1302;23,7124;25,4607;22,1923;21,4812;21,7321;20,8394;21,5913;1,89773;0,00671795;2,46292;3,51105;+
Q22638(129);21,2069;19,0067;18,5624;19,7535;25,912;23,9595;22,445;23,3386;2,4209;0,00208678;-4,28139;-4,5741;+
Q22640(93);18,3504;20,1276;19,856;18,651;21,3119;21,0417;21,5363;21,484;2,44968;0,00202521;-2,09723;-4,63722;+
Q22666(222);18,8355;20,3228;18,2742;20,0764;20,8928;21,5835;20,3457;21,7762;1,62003;0,0115576;-1,77231;-3,0007;+
Q22666(119);20,263;20,4952;20,0016;21,0156;21,6563;21,219;19,8495;20,9345;0,485724;0,194621;-0,470947;-1,06752;
Q7JLZ9(16);21,1784;17,9865;18,8883;20,3609;22,9132;23,5062;23,7105;23,0634;2,60318;0,00136438;-3,6948;-4,98327;+
Q7JLZ9(27);19,434;19,5042;20,6513;19,1983;23,2833;24,1885;24,0044;24,0079;4,45945;0;-4,17408;-10,935;+
Q7JLZ9(35);23,7406;21,7272;22,0027;23,8046;24,6726;24,6088;24,4916;25,1985;1,8087;0,00782209;-1,92413;-3,344;+
Q7JLZ9(43);19,5596;19,0694;21,6233;20,0404;24,4775;24,1806;23,7011;24,5408;3,40323;0,00034023;-4,15185;-7,08977;+
Q7JLZ9(46);19,4141;21,8124;19,5224;20,6262;22,9144;23,2237;23,2658;23,4786;2,61987;0,00123439;-2,87684;-5,02189;+
Q22751(117);19,3907;19,703;20,3483;19,881;23,7581;23,5936;22,8522;21,9862;3,41394;0,000342593;-3,21675;-7,12199;+
Q22751(45);19,2276;19,9493;21,4625;20,1881;27,8952;27,9799;27,8044;28,5253;5,40734;0;-7,84431;-15,9094;+
Q22799(36);23,0709;22,5859;22,7026;23,9285;26,072;25,473;25,1427;26,349;3,22102;0,000503876;-2,68721;-6,55958;+
Q22824(292);19,7999;19,0285;20,4406;20,8317;21,9112;21,8088;22,1281;22,2577;2,57223;0,00150685;-2,00127;-4,91219;+
Q22824(285);17,6854;19,6526;20,7627;20,4337;24,6617;24,159;23,5214;24,5218;3,10239;0,000571429;-4,58238;-6,23162;+
Q22850(61);19,2594;18,9161;21,1428;20,8744;21,1792;20,7682;19,6568;18,9819;0,045488;0,851014;-0,0983591;-0,130338;
Q22918(243);20,4311;18,938;21,5085;19,1656;23,2141;22,9728;21,3565;23,0653;1,93103;0,00667284;-2,64139;-3,57445;+
Q22938(519);24,6207;26,5648;24,2168;25,6484;24,9699;25,3451;26,9762;26,3874;0,413843;0,243148;-0,656957;-0,93554;
Q22947(448);28,5292;28,2186;27,6262;24,8142;28,591;29,0661;28,7468;29,7231;1,01044;0,0477529;-1,73471;-1,96052;+
Q22947(461);26,8037;27,3959;25,3944;23,8423;24,5816;26,1812;26,3377;26,8177;0,0452442;0,851533;-0,120505;-0,129671;
Q23012(452);24,0165;24,2982;22,7628;24,9767;23,8214;24,8022;23,1648;24,9755;0,103788;0,688501;-0,177441;-0,281983;
Q23030(30);20,4126;18,7;20,633;21,0989;21,6389;20,8049;20,7809;21,2606;0,805218;0,0774774;-0,910207;-1,6189;
Q23050(56);22,0434;19,4381;19,0124;20,2879;23,5019;24,5052;23,6505;23,4328;2,61132;0,00129426;-3,57716;-5,00209;+
Q23050(209);19,681;21,1377;20,9847;19,9677;21,7477;21,7115;20,7372;21,3817;1,15591;0,0334712;-0,951735;-2,20274;+
Q23050(165);20,4988;18,8712;20,1111;18,7487;23,8627;23,3656;23,6631;23,741;3,99702;0,000444444;-4,10066;-9,07131;+
Q23050(160);18,2404;20,387;19,8137;20,6484;27,1674;26,5614;25,9095;26,8251;4,55799;0;-6,84349;-11,3744;+
Q23050(193);21,5715;19,233;19,6605;19,9844;22,9968;23,0877;23,8294;24,0372;2,97317;0,000807512;-3,37543;-5,88885;+
Q23050(149);18,8636;17,7087;20,1873;18,6972;23,4992;23,6469;22,1958;22,3976;3,18324;0,000489642;-4,07069;-6,45372;+
Q23050(378);21,0993;20,6988;19,4879;20,5737;21,0787;21,6508;20,4243;21,8159;0,833002;0,0717151;-0,777466;-1,66537;
Q23050(143);23,6257;24,3007;25,3556;24,2089;25,6922;26,0207;23,4455;24,3947;0,312742;0,333496;-0,515565;-0,740954;
Q23050(144);19,2462;21,6294;18,9478;21,8647;27,3761;24,0599;24,1124;24,8056;2,27257;0,00331179;-4,66645;-4,25703;+
Q23050(111);25,3842;22,9923;22,5947;22,7314;25,0204;24,1525;25,9017;26,2162;1,24632;0,0274965;-1,89705;-2,35445;+
Q23050(116);21,1117;19,433;17,2626;21,5022;25,0654;24,9856;23,2838;24,2124;2,31121;0,00302326;-4,55939;-4,33834;+
Q23050(181);20,4411;20,3581;18,3399;20,6793;22,8095;22,3202;21,433;22,4034;2,0053;0,00564819;-2,28688;-3,71775;+
Q23050(132);19,3688;17,6418;19,3627;19,5965;20,8396;21,6229;19,408;21,5084;1,45851;0,0167801;-1,85225;-2,71675;+
Q23087(385);19,7275;19,9294;20,5002;20,6297;19,9729;20,4209;21,2807;21,2568;0,661849;0,116746;-0,536139;-1,37643;
Q23120(134);21,2513;20,386;20,2148;20,0485;21,0588;21,1284;21,2796;20,7179;1,00388;0,0484411;-0,571001;-1,94963;+
Q23121(146);19,7368;20,9552;20,5901;20,2564;21,306;21,705;21,2645;20,7527;1,44357;0,0174692;-0,872421;-2,69088;+
Q23130(107);18,484;20,9596;19,4794;21,6941;22,9408;22,6513;23,6459;23,5068;2,1432;0,00407018;-3,03197;-3,99115;+
Q2XN04(66);23,1591;22,9676;23,7622;27,0756;21,7744;21,1121;21,0272;21,8575;1,53129;0,0143305;2,7983;2,84368;+
Q23158(343);21,3504;18,9953;19,8678;20,1987;21,0267;20,6335;21,488;21,5968;1,04841;0,0437987;-1,08318;-2,02361;+
Q23166(42);19,0002;18,1305;18,8592;19,1588;20,3209;21,6172;21,5017;21,9192;3,05576;0,000635135;-2,55258;-6,10622;+
Q23186(3);20,2686;19,761;19,1453;19,5424;20,4275;20,9718;20,2864;20,3288;1,57093;0,0128989;-0,824321;-2,91351;+
Q23190(200);19,6069;20,592;20,2514;19,0522;22,9325;24,4955;21,7142;23,2845;2,5432;0,00167929;-3,23104;-4,84613;+
Q23191(470);19,1569;19,9481;17,6124;21,6711;24,5172;22,3647;21,2915;23,5507;1,64002;0,0109328;-3,33389;-3,03643;+
Q23191(338);20,1712;19,8225;20,9715;20,1967;23,5471;21,7134;23,4112;23,5858;2,78251;0,00104509;-2,77392;-5,40887;+
Q23191(352);19,7531;20,7814;19,2761;18,4379;23,9998;22,7192;22,5502;23,5351;3,05248;0,000630872;-3,63897;-6,09748;+
Q23203(130);20,5507;18,4332;20,6551;21,0049;21,1487;19,8537;21,4442;21,9151;0,599904;0,140021;-0,929482;-1,2696;
Q23237(40);21,7719;21,7426;19,583;20,6454;20,9609;21,5598;20,175;20,8023;0,0355992;0,881929;0,0612106;0,103026;
Q23237(41);22,1361;24,0033;24,8111;24,2874;26,4893;25,4685;25,5954;25,7849;1,75164;0,00854746;-2,02508;-3,2387;+
Q23280(3);21,4858;18,1125;18,6573;20,541;21,9603;20,4163;20,4987;21,6685;0,808352;0,0766306;-1,43678;-1,62415;
Q23280(31);21,3619;19,9256;19,3029;19,7723;21,9005;20,1457;21,533;20,5123;0,755267;0,0895553;-0,932209;-1,535;
Q23312(73);18,9787;20,091;20,6962;19,6162;25,9799;24,1717;23,992;24,2107;3,69776;0,000310559;-4,74303;-8,02076;+
Q23312(49);16,4265;20,7674;19,9871;20,3407;24,7906;24,1685;24,2327;24,1658;2,57363;0,0015103;-4,95895;-4,91539;+
Q23312(14);26,1287;26,4585;26,2966;26,3153;25,7371;25,0555;24,747;26,5503;0,983131;0,0502159;0,777278;1,91517;
Q23312(21);29,3898;26,6746;25,1284;27,1095;26,1563;27,6794;27,0115;27,7647;0,0277396;0,907299;-0,0773988;-0,0809369;
Q23312(160);21,1527;21,8198;19,5712;19,2616;24,1457;24,3515;25,5246;25,3169;3,09579;0,000566434;-4,38333;-6,21376;+
Q23312(155);18,5084;20,9859;18,8618;21,2318;21,571;21,1159;21,3181;21,7679;1,12382;0,0360457;-1,54627;-2,14916;+
Q23330(473);20,6653;20,3366;20,6528;21,3411;20,8027;21,7229;20,1548;21,5893;0,319224;0,326373;-0,31848;-0,753817;
Q23398(381);18,8021;20,7983;19,8791;18,3934;20,776;20,209;20,6998;20,9269;1,09311;0,0386836;-1,18469;-2,09798;+
Q23424(724);25,8516;26,4692;26,7871;25,6442;26,4447;28,0114;26,0942;26,3885;0,491046;0,191964;-0,546665;-1,07712;
Q23424(590);19,7468;20,136;20,5556;19,2673;21,0464;21,0902;20,8122;21,6438;2,0181;0,00557282;-1,22175;-3,74271;+
Q23449(178);23,4871;21,9602;23,6005;24,3311;21,3943;21,5943;20,5931;20,956;2,17079;0,00389333;2,21028;4,04706;+
Q23449(42);19,3454;18,6617;18,3591;19,7248;21,21;21,2848;21,3826;21,4861;3,47166;0,000240964;-2,31814;-7,29764;+
Q23451(36);25,7141;25,9124;24,956;23,9342;26,939;26,7669;26,1161;26,6066;1,65597;0,0104828;-1,478;-3,06506;+
Q23451(46);25,1492;25,2061;24,4345;22,6023;26,5256;25,8356;26,8203;27,2418;1,80656;0,00783131;-2,25781;-3,34002;+
Q23451(52);29,8103;29,3608;29,3445;29,991;31,5984;30,7113;30,255;30,7032;1,97705;0,00595408;-1,19033;-3,66293;+
Q23451(59);18,7897;20,691;19,2721;19,753;23,9046;24,5094;23,9712;23,1004;3,84048;0,000380228;-4,24495;-8,50781;+
Q23451(69);24,5067;24,0369;24,0701;23,1593;21,9142;21,557;19,7995;21,3558;2,65643;0,00126417;2,78665;5,10718;+
Q23500(77);19,8984;18,0143;19,0634;18,5406;20,8357;21,5275;20,9355;21,6929;2,70052;0,0011236;-2,3687;-5,2113;+
Q23593(372);26,4989;22,0752;23,328;22,8482;26,8619;25,8597;26,0885;26,2566;1,38563;0,0196298;-2,5791;-2,59111;+
Q23593(378);21,1024;21,1584;20,0018;21,0323;24,1938;24,2915;24,7582;24,6213;4,67293;0;-3,64247;-11,9077;+
Q23593(381);24,0967;24,1063;20,9095;24,5754;23,165;24,1433;23,9876;24,5935;0,250579;0,408396;-0,550384;-0,614267;
Q23593(318);24,4615;24,9351;25,6186;22,6918;20,2252;21,7232;20,6638;20,6629;2,67111;0,00121993;3,60798;5,14168;+
Q23593(327);24,0336;23,0509;22,2658;25,5289;23,3851;24,7447;22,9493;23,6659;0,0141559;0,951343;0,0335445;0,0419101;
Q23594(318);25,9067;27,2309;25,5017;26,6653;21,6601;21,8733;22,3278;21,8801;4,40204;0;4,39082;10,6862;+
Q23594(379);26,0711;25,1205;23,2387;27,6938;25,3042;25,5558;25,9322;26,3661;0,0988149;0,700677;-0,258541;-0,269602;
Q23600(510);19,3202;21,2572;18,1711;19,533;24,9857;23,6631;23,8549;23,4146;3,04522;0,000627713;-4,40921;-6,07817;+
Q23647(82);18,2491;19,6222;20,2054;18,3234;21,8961;21,7793;20,7564;20,9137;2,12281;0,00436928;-2,23632;-3,95009;+
Q23655(13);19,8716;21,3638;19,7236;20,5602;23,7393;24,6483;23,8735;25,0865;3,69795;0,000311526;-3,95715;-8,0214;+
Q23655(20);21,3421;20,957;17,5734;20,83;26,6376;25,7771;26,4494;26,8255;3,34392;0,000441558;-6,24678;-6,91357;+
Q23655(24);20,7104;20,0281;20,7736;20,1719;24,625;23,1741;23,0296;23,1723;3,47804;0,000243902;-3,07924;-7,31726;+
Q23655(25);21,1426;18,0175;17,4876;19,6484;20,7711;21,6432;21,2327;21,0941;1,32581;0,0227414;-2,11121;-2,48898;+
Q23672(317);19,1187;20,6606;19,932;21,8627;20,4479;20,6535;20,4916;21,1279;0,186377;0,508859;-0,286741;-0,475775;
Q23672(323);19,9906;19,7391;19,0041;20,7815;21,4485;21,3699;20,5457;19,8824;0,907011;0,0594971;-0,932795;-1,78869;
Q23680(104);21,3348;19,4879;20,3045;19,5155;21,623;19,7206;20,3329;21,6648;0,469301;0,20471;-0,67466;-1,03774;
Q23680(32);18,8957;20,3486;19,5898;21,2344;20,77;21,2402;21,4053;21,4768;1,20653;0,0299243;-1,20595;-2,28754;+
Q23680(35);23,0098;23,707;23,5771;23,446;25,4914;26,5367;25,9811;26,1243;4,20249;0;-2,59837;-9,86083;+
Q23680(96);17,4973;20,4308;19,6585;21,3342;26,1561;25,6886;25,1091;26,8363;3,34958;0,000444444;-6,2173;-6,93022;+
Q27245(369);20,5256;20,3646;20,5938;21,9203;21,0956;20,1225;20,593;21,2296;0,0741569;0,766805;0,0909047;0,206767;
Q27274(314);20,5303;20,4913;19,797;19,9804;23,3278;23,0106;24,4831;24,195;3,98211;0,0004329;-3,55435;-9,01625;+
Q27274(324);24,1302;23,9016;24,9565;22,9401;24,171;23,604;23,6922;23,7565;0,155883;0,570796;0,176168;0,406582;
Q27371(71);22,4493;23,7568;23,0048;25,5608;20,0752;20,851;21,5174;21,3864;1,96192;0,00611912;2,73545;3,63373;+
Q27371(72);22,4493;22,3815;24,3105;20,4744;21,02;21,595;21,1046;21,0952;0,741169;0,0930406;1,20021;1,51123;
Q27371(204);19,9352;21,4416;21,5256;19,3836;21,0548;20,7486;21,3457;21,21;0,413967;0,243141;-0,518268;-0,93577;
Q27371(196);19,4481;19,6883;18,7665;20,5454;24,2869;23,434;22,5855;23,5657;3,57225;0,00027248;-3,85593;-7,61229;+
Q27371(199);18,2215;19,78;19,9353;17,6584;20,5483;21,16;21,136;21,7758;1,96686;0,00610709;-2,25617;-3,64325;+
Q27371(297);21,2132;20,3974;19,9363;19,2098;21,573;21,5472;21,2958;21,374;1,59684;0,0122961;-1,25828;-2,95941;+
Q27371(303);20,3258;19,9481;23,8525;20,1509;22,6732;23,3127;22,3926;23,0877;0,964918;0,052031;-1,79724;-1,88492;
Q27371(245);21,184;19,7134;18,8242;19,4924;22,6471;24,6348;24,9163;25,397;2,96526;0,000804992;-4,59532;-5,86832;+
Q27371(282);19,58;20,9007;21,3594;19,1657;21,2762;19,5332;20,644;20,7535;0,183981;0,512704;-0,30031;-0,470425;
Q27371(182);20,8327;21,4904;20,856;21,8485;24,5315;23,9783;24,1106;23,8791;4,23011;0;-2,86799;-9,9715;+
Q27371(93);20,5593;19,7548;18,9938;18,5153;21,4568;20,3218;21,4298;21,6897;1,76323;0,00839335;-1,76871;-3,25998;+
Q27371(233);21,2664;19,7544;19,2546;20,1567;21,9227;20,3964;21,0539;21,3097;1,03279;0,045367;-1,06265;-1,99765;+
Q27371(327);24,6211;23,4389;23,4217;22,0861;25,8933;26,0494;25,2378;26,4928;2,3212;0,00288845;-2,5264;-4,35951;+
Q27371(367);20,3779;20,1914;19,1259;20,4337;24,0657;22,7989;21,2463;22,6342;2,17891;0,00391771;-2,65408;-4,06359;+
Q27389(112);24,4859;24,9347;24,6258;24,6393;25,5281;24,4555;24,6527;24,4961;0,159536;0,563026;-0,111648;-0,415003;
Q27389(101);23,5665;24,4496;22,6708;25,0012;22,8825;20,7687;20,4678;22,3886;1,57933;0,0128146;2,29517;2,92836;+
Q27389(155);21,2597;21,6982;18,2963;17,4887;21,9398;20,2328;21,1364;20,4713;0,517613;0,177354;-1,25933;-1,12477;
Q27389(163);20,9727;21,0927;21,064;19,9316;21,7825;21,3719;21,9678;22,0353;1,7507;0,00858242;-1,02411;-3,23698;+
Q27488(29);17,8219;18,9941;21,1573;20,0198;20,8997;21,0362;20,4795;21,8579;1,05993;0,0424216;-1,57003;-2,04276;+
Q27488(221);20,557;19,6053;20,4314;20,0702;24,7695;25,0905;21,3342;24,2269;2,22969;0,00355064;-3,68929;-4,16784;+
Q27493(1001);20,6253;20,1162;20,0657;20,6833;20,7328;19,6259;21,0357;21,4008;0,334378;0,310984;-0,326167;-0,783659;
Q27511(131);18,5505;19,2778;18,6225;18,3756;22,8841;22,0988;20,0336;20,8827;2,23412;0,00352919;-2,7682;-4,17701;+
Q27511(124);23,9445;24,1838;23,9446;24,2362;25,5815;27,0562;24,2502;26,0211;1,51407;0,01484;-1,65001;-2,8135;+
Q27527(60);20,5803;19,3364;19,7297;20,0596;26,2381;24,8633;23,8963;25,2908;4,06075;0;-5,14563;-9,30997;+
Q27527(80);19,7049;19,9769;20,4502;19,3664;26,0276;25,2886;24,6725;24,113;4,46086;0;-5,15084;-10,9411;+
Q27527(132);20,1947;19,4515;18,9436;19,3024;26,3401;26,9966;28,0309;28,5048;5,14728;0;-7,99504;-14,3653;+
Q27527(5);20,4962;19,0849;19,2204;20,0688;21,3403;20,0199;20,2524;20,4529;0,910886;0,0587406;-0,798787;-1,79514;
Q27531(241);25,3332;24,6179;24,6359;27,0939;27,0226;26,7252;28,0462;28,3625;1,62731;0,011294;-2,11888;-3,01369;+
Q27531(343);19,9117;18,929;20,842;19,2122;26,1355;25,8273;24,7298;26,0992;4,4935;0;-5,97422;-11,085;+
Q27531(407);25,9105;25,6825;24,3631;24,8952;27,5332;27,155;25,8187;26,158;1,44431;0,0175;-1,45339;-2,69216;+
Q27531(160);19,6772;21,2518;21,2212;21,8096;26,0182;23,9377;25,2099;27,7017;2,6898;0,00116976;-4,72692;-5,18586;+
Q27531(436);18,0571;19,1262;19,3993;20,0183;24,4176;24,0782;22,702;23,2035;3,6411;0,000289017;-4,45008;-7,83414;+
Q27531(423);23,9614;22,2519;23,8134;25,1004;24,8308;24,5097;24,7492;26,0217;0,939682;0,0548885;-1,24606;-1,843;
Q27535(322);18,4718;21,2226;19,7477;20,0643;21,8572;21,1573;21,5132;21,8437;1,5706;0,012926;-1,71626;-2,91291;+
Q27874(783);19,7907;19,664;20,3843;18,3903;20,2624;21,6643;19,4484;21,7593;0,883602;0,0627354;-1,22625;-1,74974;
Q27874(793);18,9417;19,4128;20,8744;19,054;21,6523;21,215;21,0991;20,7483;1,7991;0,00812173;-1,60795;-3,32619;+
Q27GU2(11);18,2163;21,3915;18,8995;20,1458;21,3833;20,2143;21,2908;21,1874;0,916021;0,0580468;-1,35568;-1,80368;
Q2EEN5(29);25,1107;23,1802;25,7526;24,747;21,9671;21,2303;20,402;20,9014;2,86028;0,00104274;3,57245;5,60108;+
Q2EEN5(64);19,301;21,234;21,6128;19,7993;22,8797;23,2337;22,6867;21,719;1,80207;0,008017;-2,14301;-3,3317;+
Q2HQL4(171);19,6229;20,2172;19,7623;21,1814;22,6717;20,9257;21,2107;22,3932;1,55468;0,0132545;-1,60435;-2,88481;+
Q2L6X2(16);18,5963;21,3176;18,6485;19,5336;21,2455;21,3121;20,8137;21,7163;1,415;0,0184631;-1,74789;-2,64158;+
Q2L6X2(10);19,136;21,3881;19,384;19,5158;21,5085;21,5497;20,5489;21,3276;1,29104;0,0251076;-1,37771;-2,42998;+
Q2XN01(5);28,0329;27,4626;26,807;24,4091;25,6199;26,0143;25,9772;26,2847;0,379511;0,270118;0,70384;0,870798;
Q2XN01(204);28,6639;27,7772;27,391;28,3076;26,6826;26,2633;25,8532;26,764;2,4692;0,00187035;1,64409;4,68036;+
Q2XN01(205);21,4764;22,1598;21,4956;21,7837;25,8241;26,3815;26,8412;25,3334;4,68401;0;-4,36619;-11,9603;+
Q304E5(476);21,6915;20,196;19,3521;19,8044;27,935;27,5031;26,1191;27,5255;4,44927;0;-7,00967;-10,8905;+
Q3LFN1(105);20,0649;20,3442;18,6127;19,8542;20,4113;21,2091;21,3153;20,5753;1,39737;0,0190838;-1,15877;-2,61125;+
